city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Gisborne,-0.8999328526218712,-0.0612870311155201,Australia,AU,Victoria,,-0.0404049291086138,-0.0557962485560735,-0.02506375680826307,-0.9591444506697683,-0.845276715686849
Port Augusta,-0.0689899282494223,-0.7820241054929638,Australia,AU,South Australia,,-0.0410492087844732,-0.0662849236651092,-0.0691803847370734,-0.8580501799610114,0.7071523742435324
Forster,-0.0171297785522201,0.7756134529573531,Australia,AU,New South Wales,,-0.0412809923263983,-0.0353913209024261,-0.07936541271419177,0.7602973000101111,-0.7906789042652927
Penrith,-0.2782595159663136,0.5836274593941628,Australia,AU,New South Wales,,-0.0430291902273584,-0.0373065693322665,-0.06412389824837286,0.3075607602373323,-0.862126861831401
Torquay,-1.040149794717576,-0.0900400365889177,Australia,AU,Victoria,,-0.0431745460078876,-0.0374658147073319,-0.009001821335639166,-1.1271835461840891,-0.9574099652668396
Jimboomba,0.7057032729984237,0.83071105639205,Australia,AU,Queensland,,-0.0433984724805949,-0.0377111386635137,-0.1264293916118857,1.5341089162825325,-0.11905552613518605
Lithgow,-0.2337319491535187,0.5261425748290534,Australia,AU,New South Wales,,-0.0442941783714239,-0.0721425711100816,-0.08738512721353967,0.2932496428518645,-0.7606602873546416
Bowral,-0.3993219558333628,0.5544624894779074,Australia,AU,New South Wales,,-0.0443884632020374,-0.0500461993374966,-0.06547858400270426,0.15756782149645462,-0.9549887274664421
Goonellabah,0.5424743247530145,0.8607633343390813,Australia,AU,New South Wales,,-0.0445809613978735,-0.0390066213093158,-0.1194419761363238,1.4019849307992076,-0.3130808923675492
Raymond Terrace,-0.1137170211270985,0.6945304000500063,Australia,AU,New South Wales,,-0.0448952441665854,-0.0393509356337815,-0.07886958454777007,0.5825153100168006,-0.8071972569560704
Leopold,-1.0161900397596828,-0.0744382037144824,Australia,AU,Victoria,,-0.0449188153742388,-0.0393767592081164,-0.013770917943594514,-1.0877940927819696,-0.9489237680187987
Dalby,0.8137798914760812,0.6441017269677116,Australia,AU,Queensland,,-0.0452920261620842,-0.0397856324684194,-0.13319359487938184,1.4537889281527696,0.17524217830927316
Campbelltown,-0.331832264387085,0.5975603081154751,Australia,AU,New South Wales,,-0.0458930919572458,-0.04044413361396,-0.06631795017236865,0.2681244459218526,-0.929953589571724
Colac,-1.0413136967627197,-0.167362593556321,Australia,AU,Victoria,,-0.0459677341148149,-0.0555853560323382,-0.021386460831191265,-1.2065830253507248,-0.8819319865401285
Muswellbrook,-0.0312296204705362,0.6041517392012207,Australia,AU,New South Wales,,-0.0466866559482434,-0.0425573627803681,-0.08619371752376771,0.5734962407373663,-0.6344152611613687
Esperance,-0.2965494052471478,-2.458814456647151,Australia,AU,Western Australia,,-0.0475470050275923,-0.0852996822337264,-0.04771169683644984,-2.770910080315078,2.146981788029079
Drouin,-1.006895450570604,0.0719253685997699,Australia,AU,Victoria,,-0.0485605669566882,-0.0433665014428624,-0.023142910870094183,-0.9316311216884504,-1.085403598344337
